运单ID,运单号,客户ID,客户,出发地,目的地,旧金额,新金额,差异,差异%,状态,新引擎状态,新引擎错误,明细数
87,YD20260511212534431077,77,[mockdata]华北仓储股份有限公司-205948-0022-8117,山西省/阳泉市/城区,辽宁省/朝阳市/朝阳县,8574.2,0.0,-8574.2,,new_unmatched,exception,,1
86,YD20260511212534742576,17,[mockdata]西北跨境集团-205322-0012-8573,江苏省/南京市/溧水区,浙江省/杭州市/上城区,24623.13,0.0,-24623.13,,new_unmatched,exception,,1
85,YD20260511212534596175,72,[mockdata]华南仓储贸易公司-205948-0017-8519,安徽省/蚌埠市/五河县,河北省/秦皇岛市/北戴河新区,21494.84,0.0,-21494.84,,new_unmatched,exception,,1
84,YD20260511212534122274,42,[mockdata]东北零部件贸易供应链公司-205322-0037-4121,天津市/市辖区/宁河区,河北省/唐山市/丰润区,1156.26,0.0,-1156.26,,new_unmatched,exception,,1
83,YD20260511212534723573,24,[mockdata]西南大宗集团-205322-0019-6245,江苏省/盐城市/射阳县,山西省/晋城市/高平市,13956.13,0.0,-13956.13,,new_unmatched,exception,,2
82,YD20260511212534486172,40,[mockdata]东北零部件贸易有限公司-205322-0035-4733,浙江省/台州市/玉环市,河北省/邯郸市/广平县,2185.03,0.0,-2185.03,,new_unmatched,exception,,1
81,YD20260511212534140771,28,[mockdata]东北零部件贸易供应链公司-205322-0023-6770,吉林省/吉林市/磐石市,黑龙江省/佳木斯市/市辖区,3204.02,0.0,-3204.02,,new_unmatched,exception,,2
80,YD20260511212534634770,82,[mockdata]华南仓储有限公司-205948-0027-2599,山西省/忻州市/五台山风景名胜区,浙江省/衢州市/市辖区,9939.57,0.0,-9939.57,,new_unmatched,exception,,1
79,YD20260511212534494469,57,[mockdata]华北城配股份有限公司-205948-0002-2877,内蒙古自治区/兴安盟/科尔沁右翼前旗,江苏省/南京市/建邺区,20477.08,0.0,-20477.08,,new_unmatched,exception,,2
78,YD20260511212534945768,28,[mockdata]东北零部件贸易供应链公司-205322-0023-6770,山西省/运城市/河津市,辽宁省/沈阳市/和平区,17275.15,0.0,-17275.15,,new_unmatched,exception,,2
77,YD20260511212534435067,20,[mockdata]华北冷链运输有限公司-205322-0015-4009,辽宁省/阜新市/细河区,黑龙江省/七台河市/新兴区,16307.81,0.0,-16307.81,,new_unmatched,exception,,1
76,YD20260511212534416966,64,[mockdata]华东跨境贸易公司-205948-0009-7558,浙江省/金华市/东阳市,浙江省/嘉兴市/嘉善县,12155.04,0.0,-12155.04,,new_unmatched,exception,,1
75,YD20260511212534368965,24,[mockdata]西南大宗集团-205322-0019-6245,福建省/三明市/大田县,江苏省/镇江市/京口区,9482.14,0.0,-9482.14,,new_unmatched,exception,,2
74,YD20260511212534472964,54,[mockdata]东北仓储供应链公司-205322-0049-6349,吉林省/通化市/二道江区,黑龙江省/齐齐哈尔市/市辖区,12295.85,0.0,-12295.85,,new_unmatched,exception,,2
73,YD20260511212534234563,54,[mockdata]东北仓储供应链公司-205322-0049-6349,江苏省/镇江市/镇江新区,辽宁省/沈阳市/苏家屯区,18193.82,0.0,-18193.82,,new_unmatched,exception,,2
72,YD20260511212534154762,59,[mockdata]华东城配股份有限公司-205948-0004-7306,黑龙江省/齐齐哈尔市/市辖区,辽宁省/本溪市/南芬区,24519.81,0.0,-24519.81,,new_unmatched,exception,,1
71,YD20260511212534551961,53,[mockdata]华中城配供应链公司-205322-0048-4435,浙江省/金华市/武义县,浙江省/金华市/浦江县,18092.22,0.0,-18092.22,,new_unmatched,exception,,2
70,YD20260511212534147460,62,[mockdata]华东冷链运输贸易公司-205948-0007-9539,辽宁省/盘锦市/大洼区,安徽省/芜湖市/湾沚区,16527.0,0.0,-16527.0,,new_unmatched,exception,,2
69,YD20260511212534281759,82,[mockdata]华南仓储有限公司-205948-0027-2599,江苏省/南京市/高淳区,内蒙古自治区/呼和浩特市/清水河县,8707.37,0.0,-8707.37,,new_unmatched,exception,,1
68,YD20260511212534216958,78,[mockdata]东北仓储股份有限公司-205948-0023-1202,安徽省/芜湖市/镜湖区,河北省/保定市/徐水区,6654.24,0.0,-6654.24,,new_unmatched,exception,,1
67,YD20260511212534588857,47,[mockdata]华北城配集团-205322-0042-8583,吉林省/白山市/靖宇县,内蒙古自治区/包头市/青山区,13977.2,0.0,-13977.2,,new_unmatched,exception,,1
66,YD20260511212534770456,62,[mockdata]华东冷链运输贸易公司-205948-0007-9539,辽宁省/本溪市/溪湖区,山西省/长治市/长子县,3531.22,0.0,-3531.22,,new_unmatched,exception,,1
65,YD20260511212534797655,65,[mockdata]东北冷链运输供应链公司-205948-0010-7640,安徽省/合肥市/合肥经济技术开发区,江苏省/扬州市/邗江区,7739.32,0.0,-7739.32,,new_unmatched,exception,,1
64,YD20260511212534507154,71,[mockdata]华北城配供应链公司-205948-0016-2813,山西省/晋中市/祁县,河北省/邯郸市/市辖区,7110.45,0.0,-7110.45,,new_unmatched,exception,,2
63,YD20260511212534792153,57,[mockdata]华北城配股份有限公司-205948-0002-2877,浙江省/金华市/兰溪市,河北省/保定市/满城区,1617.55,0.0,-1617.55,,new_unmatched,exception,,1
62,YD20260511212534274552,64,[mockdata]华东跨境贸易公司-205948-0009-7558,浙江省/丽水市/青田县,吉林省/延边朝鲜族自治州/和龙市,13092.51,0.0,-13092.51,,new_unmatched,exception,,2
61,YD20260511212534303951,30,[mockdata]华北城配有限公司-205322-0025-2916,北京市/市辖区/密云区,山西省/长治市/武乡县,5636.1,0.0,-5636.1,,new_unmatched,exception,,1
60,YD20260511212534887350,24,[mockdata]西南大宗集团-205322-0019-6245,山西省/阳泉市/盂县,吉林省/白山市/抚松县,12445.67,0.0,-12445.67,,new_unmatched,exception,,2
59,YD20260511212534659449,68,[mockdata]华北仓储贸易公司-205948-0013-3965,吉林省/长春市/长春高新技术产业开发区,黑龙江省/双鸭山市/尖山区,3245.93,0.0,-3245.93,,new_unmatched,exception,,2
58,YD20260511212534503248,57,[mockdata]华北城配股份有限公司-205948-0002-2877,黑龙江省/齐齐哈尔市/龙沙区,安徽省/阜阳市/阜阳经济技术开发区,17644.13,0.0,-17644.13,,new_unmatched,exception,,2
57,YD20260511212534272147,54,[mockdata]东北仓储供应链公司-205322-0049-6349,安徽省/宿州市/灵璧县,吉林省/白山市/市辖区,20254.24,0.0,-20254.24,,new_unmatched,exception,,2
56,YD20260511212534211546,47,[mockdata]华北城配集团-205322-0042-8583,黑龙江省/双鸭山市/友谊县,安徽省/滁州市/琅琊区,19732.26,0.0,-19732.26,,new_unmatched,exception,,1
55,YD20260511212534621445,58,[mockdata]华南城配供应链公司-205948-0003-2590,山西省/晋中市/介休市,江苏省/南京市/高淳区,11785.25,0.0,-11785.25,,new_unmatched,exception,,2
54,YD20260511212534730144,80,[mockdata]东北冷链运输有限公司-205948-0025-8782,内蒙古自治区/巴彦淖尔市/乌拉特中旗,河北省/衡水市/景县,11209.68,0.0,-11209.68,,new_unmatched,exception,,1
53,YD20260511212534617243,17,[mockdata]西北跨境集团-205322-0012-8573,辽宁省/丹东市/宽甸满族自治县,辽宁省/辽阳市/弓长岭区,14168.31,0.0,-14168.31,,new_unmatched,exception,,1
52,YD20260511212534263342,68,[mockdata]华北仓储贸易公司-205948-0013-3965,安徽省/合肥市/蜀山区,安徽省/池州市/青阳县,4687.61,0.0,-4687.61,,new_unmatched,exception,,2
51,YD20260511212534435441,75,[mockdata]华东零部件贸易有限公司-205948-0020-6002,山西省/长治市/市辖区,江苏省/苏州市/张家港市,7939.24,0.0,-7939.24,,new_unmatched,exception,,2
50,YD20260511212534307140,62,[mockdata]华东冷链运输贸易公司-205948-0007-9539,辽宁省/朝阳市/建平县,浙江省/衢州市/市辖区,17527.66,0.0,-17527.66,,new_unmatched,exception,,2
49,YD20260511212534396839,6,[mockdata]华北汽车物流有限公司-205322-0001-3665,黑龙江省/牡丹江市/西安区,山西省/晋中市/市辖区,4844.28,0.0,-4844.28,,new_unmatched,exception,,1
48,YD20260511212534508738,82,[mockdata]华南仓储有限公司-205948-0027-2599,辽宁省/大连市/庄河市,河北省/秦皇岛市/卢龙县,19049.83,0.0,-19049.83,,new_unmatched,exception,,1
47,YD20260511212534994537,19,[mockdata]华北城配股份有限公司-205322-0014-8676,安徽省/淮南市/田家庵区,浙江省/台州市/三门县,9297.21,0.0,-9297.21,,new_unmatched,exception,,2
46,YD20260511212534105936,37,[mockdata]西北仓储有限公司-205322-0032-2563,黑龙江省/七台河市/勃利县,内蒙古自治区/赤峰市/红山区,18369.97,0.0,-18369.97,,new_unmatched,exception,,1
45,YD20260511212534948335,9,[mockdata]西南仓储有限公司-205322-0004-2640,安徽省/宣城市/旌德县,安徽省/合肥市/合肥经济技术开发区,4845.76,0.0,-4845.76,,new_unmatched,exception,,2
44,YD20260511212534988434,56,[mockdata]东北汽车物流贸易公司-205948-0001-8810,浙江省/温州市/洞头区,山西省/运城市/盐湖区,19101.89,0.0,-19101.89,,new_unmatched,exception,,2
43,YD20260511212534859233,42,[mockdata]东北零部件贸易供应链公司-205322-0037-4121,河北省/秦皇岛市/市辖区,河北省/承德市/隆化县,3372.2,0.0,-3372.2,,new_unmatched,exception,,1
42,YD20260511212534896232,30,[mockdata]华北城配有限公司-205322-0025-2916,福建省/厦门市/翔安区,江苏省/苏州市/吴江区,23980.6,0.0,-23980.6,,new_unmatched,exception,,2
41,YD20260511212534241731,60,[mockdata]华南零部件贸易股份有限公司-205948-0005-8113,山西省/长治市/壶关县,内蒙古自治区/乌海市/海南区,5099.33,0.0,-5099.33,,new_unmatched,exception,,1
40,YD20260511212534805130,29,[mockdata]西南城配有限公司-205322-0024-6594,山西省/吕梁市/离石区,辽宁省/朝阳市/喀喇沁左翼蒙古族自治县,13280.47,0.0,-13280.47,,new_unmatched,exception,,2
39,YD20260511212534706229,13,[mockdata]西南冷链运输集团-205322-0008-3460,吉林省/延边朝鲜族自治州/汪清县,河北省/张家口市/怀来县,18328.98,0.0,-18328.98,,new_unmatched,exception,,1
38,YD20260511212534924528,81,[mockdata]华南冷链运输有限公司-205948-0026-9702,河北省/唐山市/河北唐山芦台经济开发区,河北省/保定市/曲阳县,5921.35,0.0,-5921.35,,new_unmatched,exception,,1
37,YD20260511212534859627,50,[mockdata]华中仓储有限公司-205322-0045-9635,山西省/晋城市/陵川县,江苏省/苏州市/市辖区,5187.12,0.0,-5187.12,,new_unmatched,exception,,1
36,YD20260511212534425526,70,[mockdata]东北跨境股份有限公司-205948-0015-4083,河北省/沧州市/沧州渤海新区,河北省/邢台市/襄都区,19057.29,0.0,-19057.29,,new_unmatched,exception,,1
35,YD20260511212534972925,68,[mockdata]华北仓储贸易公司-205948-0013-3965,天津市/市辖区/津南区,安徽省/宣城市/旌德县,19918.81,0.0,-19918.81,,new_unmatched,exception,,1
34,YD20260511212534900624,72,[mockdata]华南仓储贸易公司-205948-0017-8519,山西省/晋中市/寿阳县,天津市/市辖区/静海区,1571.08,0.0,-1571.08,,new_unmatched,exception,,1
33,YD20260511212534594723,12,[mockdata]华北冷链运输集团-205322-0007-9967,河北省/邢台市/信都区,福建省/福州市/马尾区,13272.71,0.0,-13272.71,,new_unmatched,exception,,2
32,YD20260511212534789222,48,[mockdata]华南仓储供应链公司-205322-0043-5761,河北省/唐山市/滦州市,山西省/太原市/阳曲县,1671.89,0.0,-1671.89,,new_unmatched,exception,,2
31,YD20260511212534973521,42,[mockdata]东北零部件贸易供应链公司-205322-0037-4121,山西省/临汾市/尧都区,内蒙古自治区/阿拉善盟/阿拉善右旗,24920.16,0.0,-24920.16,,new_unmatched,exception,,1
30,YD20260511212534283420,82,[mockdata]华南仓储有限公司-205948-0027-2599,山西省/吕梁市/市辖区,辽宁省/鞍山市/千山区,1802.5,0.0,-1802.5,,new_unmatched,exception,,1
29,YD20260511212534183419,30,[mockdata]华北城配有限公司-205322-0025-2916,安徽省/蚌埠市/淮上区,浙江省/杭州市/西湖区,23212.51,0.0,-23212.51,,new_unmatched,exception,,2
28,YD20260511212534505418,22,[mockdata]华中仓储股份有限公司-205322-0017-3578,河北省/廊坊市/永清县,黑龙江省/伊春市/大箐山县,14324.63,0.0,-14324.63,,new_unmatched,exception,,2
27,YD20260511212534899317,33,[mockdata]西北汽车物流有限公司-205322-0028-9536,上海市/市辖区/杨浦区,河北省/保定市/徐水区,7440.34,0.0,-7440.34,,new_unmatched,exception,,1
26,YD20260511212534932416,60,[mockdata]华南零部件贸易股份有限公司-205948-0005-8113,山西省/吕梁市/方山县,吉林省/通化市/东昌区,10300.95,0.0,-10300.95,,new_unmatched,exception,,2
25,YD20260511212534723515,55,[mockdata]东北汽车物流有限公司-205948-0000-3522,浙江省/杭州市/上城区,内蒙古自治区/锡林郭勒盟/苏尼特右旗,7985.93,0.0,-7985.93,,new_unmatched,exception,,1
24,YD20260511212534422114,54,[mockdata]东北仓储供应链公司-205322-0049-6349,安徽省/芜湖市/市辖区,内蒙古自治区/乌海市/乌达区,1636.81,0.0,-1636.81,,new_unmatched,exception,,1
23,YD20260511212534130513,81,[mockdata]华南冷链运输有限公司-205948-0026-9702,河北省/唐山市/曹妃甸区,内蒙古自治区/包头市/东河区,20003.83,0.0,-20003.83,,new_unmatched,exception,,1
22,YD20260511212534734712,14,[mockdata]华东零部件贸易股份有限公司-205322-0009-3651,内蒙古自治区/乌兰察布市/丰镇市,河北省/邢台市/威县,18266.88,0.0,-18266.88,,new_unmatched,exception,,1
21,YD20260511212534169111,33,[mockdata]西北汽车物流有限公司-205322-0028-9536,黑龙江省/鹤岗市/绥滨县,河北省/邢台市/襄都区,21007.57,0.0,-21007.57,,new_unmatched,exception,,2
20,YD20260511212534846710,44,[mockdata]东北冷链运输供应链公司-205322-0039-9687,安徽省/安庆市/宿松县,辽宁省/沈阳市/法库县,24502.97,0.0,-24502.97,,new_unmatched,exception,,1
19,YD2026051121253445479,54,[mockdata]东北仓储供应链公司-205322-0049-6349,浙江省/湖州市/长兴县,浙江省/温州市/苍南县,1329.53,0.0,-1329.53,,new_unmatched,exception,,2
18,YD2026051121253421538,30,[mockdata]华北城配有限公司-205322-0025-2916,黑龙江省/牡丹江市/东宁市,江苏省/盐城市/盐都区,6671.78,0.0,-6671.78,,new_unmatched,exception,,1
17,YD2026051121253487467,56,[mockdata]东北汽车物流贸易公司-205948-0001-8810,山西省/长治市/沁源县,内蒙古自治区/乌海市/乌达区,19142.41,0.0,-19142.41,,new_unmatched,exception,,2
16,YD2026051121253445536,57,[mockdata]华北城配股份有限公司-205948-0002-2877,江苏省/宿迁市/宿城区,辽宁省/盘锦市/大洼区,7882.28,0.0,-7882.28,,new_unmatched,exception,,1
15,YD2026051121253439715,61,[mockdata]华南整车经销股份有限公司-205948-0006-1395,江苏省/南通市/海安市,黑龙江省/牡丹江市/西安区,3099.57,0.0,-3099.57,,new_unmatched,exception,,1
14,YD2026051121253475674,22,[mockdata]华中仓储股份有限公司-205322-0017-3578,江苏省/盐城市/市辖区,福建省/莆田市/秀屿区,6941.09,0.0,-6941.09,,new_unmatched,exception,,1
13,YD2026051121253438413,48,[mockdata]华南仓储供应链公司-205322-0043-5761,安徽省/芜湖市/无为市,江苏省/淮安市/市辖区,24449.94,0.0,-24449.94,,new_unmatched,exception,,2
12,YD2026051121253437222,64,[mockdata]华东跨境贸易公司-205948-0009-7558,安徽省/蚌埠市/淮上区,安徽省/芜湖市/繁昌区,18440.72,0.0,-18440.72,,new_unmatched,exception,,2
11,YD2026051121253419841,61,[mockdata]华南整车经销股份有限公司-205948-0006-1395,安徽省/马鞍山市/花山区,黑龙江省/佳木斯市/桦南县,535.16,0.0,-535.16,,new_unmatched,exception,,2
10,YD2026051121253411360,51,[mockdata]华东整车经销有限公司-205322-0046-7543,河北省/张家口市/怀来县,辽宁省/阜新市/市辖区,15743.81,0.0,-15743.81,,new_unmatched,exception,,2
2,1212,4,上海大桥是换,内蒙古自治区/包头市,天津市/市辖区/和平区,12.0,0.0,-12.0,,new_unmatched,exception,,1
